epoch,train_pr_auc,train_roc_auc,train_f1,train_mcc,train_precision,train_recall,train_signal_recall_at_0.30,train_signal_recall_at_0.50,train_signal_recall_at_0.70,train_loss,val_pr_auc,val_roc_auc,val_f1,val_mcc,val_precision,val_recall,val_signal_recall_at_0.30,val_signal_recall_at_0.50,val_signal_recall_at_0.70,val_loss
1.0,0.5531837409405772,0.7493583641809727,0.5166834903492113,0.24528958710067233,0.35793260131662136,0.9284881811555313,0.517730269218138,0.7332476256845264,0.8833568295111994,0.4052361915255269,0.6027968675045029,0.7555990740423525,0.5598600465867025,0.26162576385007547,0.39929962913432504,0.9363853863562884,0.5080245716133204,0.7263013255738765,0.8807597801487229,0.450102577895304
2.0,0.5714021821515332,0.7583496840085079,0.5226553024912243,0.2583161997252814,0.36454667764508236,0.9229512267407864,0.5248625607095846,0.7397050695673766,0.8860882601881296,0.39859540204678917,0.6082129505755363,0.7560459772261809,0.5697970068741887,0.28237571188743943,0.41436452724294226,0.9118364047849984,0.510103459424507,0.7274911089557065,0.8799256385386356,0.4518903865260246
3.0,0.5791699665573755,0.7614122456338213,0.5248342369761703,0.2628188191727389,0.3670952777691241,0.9202691914377792,0.5276747594979294,0.7414606078568015,0.886910626413442,0.39614669302850725,0.6192847832103856,0.7609902369298273,0.5574900898936994,0.25671955928853135,0.39579039970024515,0.9425800193986421,0.51274490785645,0.7301163918525703,0.8819107662463628,0.4457718749495111
4.0,0.5856254764174886,0.7641849740736361,0.527066026718433,0.2674173332775546,0.3696862293069361,0.9177727225395096,0.530171895901252,0.7431000002670021,0.8876582320728168,0.39407483135499244,0.6243915667539173,0.7639527661662293,0.564378919555909,0.2725433905834299,0.4044159452397023,0.9336922082120919,0.5141707080504365,0.7318137730358875,0.8830391205948916,0.4430415118351318
5.0,0.5910670354951945,0.7666119008484338,0.5282704024289762,0.2699627611726484,0.3710123813312828,0.9169163135564936,0.5326757073551047,0.7446252493131373,0.8881595283676298,0.3921818262117708,0.6267192388551063,0.7651378449889017,0.5628117640423873,0.26899538503316284,0.4024407541418563,0.935674102812803,0.5167927578402846,0.7329162625282897,0.8834885224700938,0.4411380244070584
6.0,0.5937622393816687,0.7682394910686572,0.5300252760769889,0.27348282958744424,0.3730988188154287,0.9147876399424344,0.5342383366842087,0.745869478731954,0.8886140993087318,0.3909770618715549,0.6316982093242628,0.7673947704521227,0.5636944689006387,0.27140820256355186,0.4031574626190658,0.9366795990947301,0.5190656320724216,0.7342547688328483,0.8841577756223731,0.44014121780015697
7.0,0.5967340051430231,0.7697497457321094,0.5312778984623037,0.27610996265699395,0.3744676266114772,0.9140346942426354,0.5360439378526095,0.7475842992131451,0.8894157728774007,0.3898004232520483,0.6318245444290866,0.7681105915927707,0.5659593490037231,0.2763837236304739,0.40611678704779697,0.9332913029421274,0.5189524733268671,0.7351115421920466,0.8844519883608147,0.43875291047694565
8.0,0.5994084548413646,0.7713524229140953,0.5323313787126657,0.278307174498979,0.37562032755655655,0.9134125795332271,0.5377721084348609,0.7490261101276536,0.8900972955365272,0.3886595225182652,0.6364843884696291,0.7697626103240864,0.5654853786859171,0.27532927525767736,0.405512933001088,0.9339055932751374,0.5220109925638539,0.7370869705787262,0.8853572583252506,0.43841649746046296
9.0,0.6023465161000857,0.7729799477126016,0.5343533787701088,0.28240997339195123,0.37791948507277684,0.9117638420522843,0.5395563494415653,0.7501301634853376,0.8910144474793674,0.3875033204210295,0.634740812347103,0.7697277662175028,0.5565474218313659,0.2560278166235319,0.3934838770128636,0.9504041383769802,0.5211542192046557,0.737171031361138,0.8860135790494665,0.44165000993655285
10.0,0.604934221889072,0.7740927665419215,0.5348972830363578,0.2835087329332276,0.3785377198281993,0.9113353038082498,0.5406016623545841,0.7509238269933703,0.8914690184204694,0.3865178705543968,0.6342139478971819,0.7701847219203132,0.5540792342073535,0.25089086668126104,0.39006361596690864,0.956107339152926,0.522929194956353,0.7377594568380214,0.8866537342386033,0.44421179580235476
11.0,0.607009203406018,0.7753718116664817,0.5363351986334156,0.2863973347138892,0.3801782596597743,0.9101945376726501,0.5421469365523097,0.7522081067153679,0.8920424052610079,0.3856339212958934,0.6412671230333749,0.773285959290813,0.5650359962763479,0.2752298514221582,0.40409865831481667,0.9390074361461365,0.5258389912706111,0.7395667636598772,0.8875137407048174,0.43675202816912795
12.0,0.6093536072835936,0.7763551016402721,0.5368731993382645,0.2874615601429002,0.38080527277436776,0.9097025864485794,0.5431768968491092,0.7529149945665089,0.8925850868691076,0.38482196421034576,0.6392229944046284,0.7724360828520738,0.5572674462638412,0.2582205769000032,0.39400807526922027,0.9515454251535725,0.5255965082444229,0.7382929194956354,0.8865858389912706,0.4417126248994902
13.0,0.6109170482403112,0.7771695874386852,0.5372051245872512,0.28819006276346687,0.3811173246840398,0.9098280773985459,0.544128759054706,0.7537760760848959,0.8929041542844479,0.38420072379168946,0.6448796457324736,0.7744110387484532,0.568703422431747,0.2829872970270648,0.4090555261736269,0.9327352085354025,0.5268412544455221,0.7402683478823149,0.8875040413837698,0.43850288078784505
14.0,0.6135925558654631,0.7782725988656098,0.5381896792768439,0.29013811455055905,0.38225628838794556,0.9089950310923853,0.5452474975235563,0.7543047400868824,0.8933220124476342,0.3833913947048318,0.6455338478957511,0.775059234979089,0.5752774257239469,0.29630676547436874,0.41859855772415405,0.9194051083090851,0.5282023924991918,0.7408955706433883,0.8881571290009699,0.43443049386472116
15.0,0.6151745636362279,0.779045641806329,0.538971120141305,0.29172710733454593,0.3831109069693219,0.908625233293016,0.5459083275260393,0.7550790459483778,0.8937038253379578,0.38269731738550594,0.6449830445740282,0.7752952649086738,0.5651231423661065,0.2756125570044938,0.40404182211423517,0.9397963142580019,0.52786938247656,0.7406918849013903,0.8883705140640156,0.43670617222329106
16.0,0.6169215943945655,0.7798096520252329,0.5394754968840741,0.2927413754169797,0.3836718617176797,0.9083388736252733,0.5468308195093037,0.7555569795663353,0.8940629430564789,0.3820794804788485,0.6468737587233754,0.7756576473089494,0.5651829179419909,0.27586453438273906,0.40401333611168994,0.9402812803103783,0.5295635305528613,0.7421855803427093,0.8883317167798254,0.43293028552367974
17.0,0.6187300463609909,0.7804549083197481,0.5401516234591435,0.29408841909258643,0.38443416757960047,0.9079036603307087,0.5478173919776572,0.7562097995081822,0.8941610662992718,0.3815618201109853,0.6463274679324104,0.7749503879401666,0.558375220268184,0.26105441887925124,0.39517063808125674,0.9512318137730359,0.5290656320724216,0.7403524086647268,0.8874652440995797,0.43539614768772333
18.0,0.62015130977179,0.7812381338850454,0.5409256732749809,0.2956405749671558,0.3852921655214474,0.9074964822483707,0.5483293683533185,0.756751813611229,0.894572249411928,0.3809351242270766,0.6518044755647545,0.7781222364492784,0.5739951230076925,0.29428802819092803,0.4160145690051102,0.9254219204655674,0.5293986420950534,0.7420400905269965,0.889078564500485,0.43126856382612877
19.0,0.6216009086127086,0.7817672212779517,0.5409005154106942,0.2955741124855034,0.3852814380387948,0.90741437912685,0.5487959543853747,0.7569300374603836,0.8949927775953264,0.3804377899560511,0.6521111265363498,0.7778276865797806,0.5742506271752869,0.29476715825869115,0.4164258269477442,0.9247171031361138,0.5302974458454575,0.7413967022308439,0.8883575816359521,0.43300574764764127
