epoch,train_pr_auc,train_roc_auc,train_f1,train_mcc,train_precision,train_recall,train_signal_recall_at_0.30,train_signal_recall_at_0.50,train_signal_recall_at_0.70,train_loss,val_pr_auc,val_roc_auc,val_f1,val_mcc,val_precision,val_recall,val_signal_recall_at_0.30,val_signal_recall_at_0.50,val_signal_recall_at_0.70,val_loss,learning_rate
1.0,0.5177658434702247,0.7208339921243865,0.503010477850335,0.21261615117461938,0.34351562973136124,0.9389806930838467,0.48846217515866597,0.7059299813899591,0.8670336609448134,0.4226809148576239,0.5921824161167766,0.7479125262325108,0.5553511487322083,0.24961735870499524,0.3949734770471295,0.9350080827675396,0.5027740058195926,0.7201454898157129,0.877539605560944,0.4574015392287446,4.9999999999999996e-05
2.0,0.5586550785549215,0.7515695726627245,0.5197795487809533,0.25151589860154594,0.3618252855134005,0.9224919832643134,0.5193916892950879,0.7343556840725284,0.8832947515412691,0.4034946859541529,0.5973253741226165,0.7510282861578266,0.5497460098974207,0.23718273224176564,0.38693740896718537,0.9490850307145167,0.5045877788554801,0.7233365664403492,0.8786970578726155,0.4561454054699313,9.999999999999999e-05
3.0,0.5669907830373258,0.756025982378856,0.5222022036721056,0.2569051117006106,0.36440686694870916,0.9210234721476842,0.5234467824921435,0.7384568351182419,0.8851103652854652,0.4001714806240838,0.6050971574629096,0.7549448894742798,0.5618553985039879,0.2657050014025034,0.40235871865034,0.9308470740381507,0.5060750080827675,0.7255609440672486,0.8803039120594892,0.4510228872351544,0.00015
4.0,0.5748217359682485,0.7589798495584426,0.5238923999764877,0.26046114198107373,0.3663502205403271,0.9191604655447242,0.5263417519070619,0.740683631975094,0.8863218869566842,0.39805157160373544,0.611197764333466,0.7574712299107943,0.548836717094313,0.23625753703968888,0.3849428285324753,0.9557646298092467,0.5079372777238926,0.7262786938247656,0.8809699321047527,0.4491085461656526,0.00019999999999999998
5.0,0.5816735048473136,0.7621547174192544,0.5260717883089885,0.26513842511134583,0.3687406046702769,0.9175751410438177,0.5290358023010234,0.7427876079021918,0.8873064569098789,0.39572313035950046,0.6113209249788836,0.7582463354509033,0.5630224352599157,0.2683067915520626,0.4039261557668488,0.9288878111865503,0.5097187196896217,0.7284707403815066,0.8823666343355965,0.4475672315511324,0.00024999999999999995
6.0,0.5865652833315396,0.7641632907285294,0.5269160614537718,0.26707672935946136,0.36954139566211747,0.9177560349131842,0.5310763652480849,0.7441373031193846,0.8882149312870299,0.394219716029988,0.608028106169557,0.7567973525153481,0.5409499330346668,0.21685692040476243,0.3752128362813245,0.9689492402198513,0.5098836081474297,0.7281959262851601,0.8812318137730358,0.4537045201682206,0.0003
7.0,0.5907027580772802,0.7661080383876699,0.5285551404421357,0.27020474946041156,0.3716575176020048,0.9147028668007017,0.5331643210539104,0.7452446940023336,0.8885633689247028,0.3927647775262318,0.6271461567193187,0.765179950856582,0.5719779870180368,0.2880202231819431,0.4159108634442889,0.9155189136760427,0.5157710960232784,0.7318752020691884,0.8830003233107016,0.44300150121476395,0.0002997589621333844
8.0,0.5965620104015696,0.7688597758579903,0.5302425155847315,0.27392736130170064,0.3733476151951962,0.9145867209214774,0.5355746818003412,0.747076995372855,0.8895092235848225,0.39054197463715434,0.6243402081363227,0.7638896122121113,0.5560867268604615,0.2542055068682721,0.3934496627003031,0.9479211121888135,0.5150824442289039,0.7305075978014872,0.8826511477529906,0.4437286854874997,0.00029903656497247367
9.0,0.601126433229658,0.7707662707637756,0.5316203006919825,0.27670949416666013,0.37495347461701184,0.9131702751989833,0.5372821597259492,0.7481810487305389,0.8898549912022834,0.38894178930267836,0.6292642463416663,0.7648797062671177,0.553116777325643,0.24767056039700794,0.38948317537766125,0.9538635628839315,0.5157613967022309,0.7320918202392499,0.8832880698351115,0.44240707579356925,0.00029783525287803935
10.0,0.6040621626014443,0.7723636105477337,0.5329278609773412,0.2794034468642263,0.37641297848331334,0.9122451131955069,0.5384956839123272,0.7491729612393165,0.89074477543795,0.3877373868098367,0.6321295240980438,0.7668301664882584,0.5548315415640402,0.25118684195372326,0.3919516893123015,0.9493404461687682,0.5187132234076948,0.7332816036210799,0.8844713870029098,0.4403332463948453,0.00029615909070994264
