epoch,train_pr_auc,train_roc_auc,train_f1,train_mcc,train_precision,train_recall,train_signal_recall_at_0.30,train_signal_recall_at_0.50,train_signal_recall_at_0.70,train_loss,val_pr_auc,val_roc_auc,val_f1,val_mcc,val_precision,val_recall,val_signal_recall_at_0.30,val_signal_recall_at_0.50,val_signal_recall_at_0.70,val_loss,learning_rate
1.0,0.46882391546329044,0.7124130134101432,0.45947940026305445,0.18514239021531004,0.3032836064438513,0.9474107141293171,0.4851801832573994,0.6999164463969479,0.8610610431763682,0.29877766347928375,0.5345289602924819,0.7294486330456795,0.49835114018889487,0.20492584163023347,0.33845923299428554,0.9445823524253442,0.4928666347379711,0.7033177737154883,0.8598538250352452,0.2758757034468862,4.9999999999999996e-05
2.0,0.5010102910310937,0.7362809641874052,0.47244125365850903,0.21584121975543424,0.3162103356343029,0.9338126717709685,0.5097711296902561,0.7225218999774038,0.8737013720657709,0.28735883710872656,0.5279201431237255,0.7274161143406903,0.48957676083721285,0.1845584867436374,0.3279859645181092,0.9650178418450289,0.49647379036338,0.7074122916483976,0.8621101944727381,0.2747653835506626,9.999999999999999e-05
3.0,0.5092517873928036,0.7403286957404656,0.4741913184047402,0.21989535738929927,0.31789266991681425,0.9328435725909149,0.5139010774386004,0.7263431197899424,0.8752126062593385,0.2851970427617588,0.5428893022837799,0.7342644162876014,0.48839149249687025,0.1818304134008587,0.32657291855701714,0.9680802984208786,0.49821412912234314,0.7096045788447658,0.8630208368466141,0.27340908028869615,0.00015
4.0,0.5180678373301314,0.7440414864303879,0.4760674098855079,0.22417106059510145,0.3197055179032139,0.9317864531057592,0.5173557649358634,0.728727988355045,0.8766213690529365,0.2832432501261367,0.5443921318809471,0.7333868347222718,0.48983447356551124,0.18453249317456139,0.32852414925395473,0.962375292586022,0.49932882284295804,0.7095674785999042,0.8633260706793392,0.2736532063411535,0.00019999999999999998
5.0,0.5249066105598001,0.7466873955269098,0.477448431379666,0.2271143193558176,0.32113037233192654,0.9302896700070591,0.51961144947109,0.7302965890161169,0.8773185249023019,0.28175980771149844,0.5512471474163712,0.7363711268280516,0.4970495377396329,0.2030547150576007,0.3363325073241533,0.951931573657477,0.501207444332769,0.7112150667467133,0.8642535768008797,0.2698820754566836,0.00025
6.0,0.5280282042441695,0.7481810263361557,0.47864942132469124,0.22958579890499872,0.32240818549192585,0.9287074940750512,0.5216035110029761,0.73177279025243,0.8780831191943821,0.2809918858153884,0.5561170835055498,0.7401412146206942,0.4933545369973518,0.19511226393723372,0.33176185775751504,0.9618440845345942,0.5030810066982806,0.7124832205710739,0.865879242075725,0.2692112777234193,0.0003
7.0,0.5320349132983456,0.7500846424431142,0.4795044420920315,0.23156203243191947,0.3231950289997874,0.9286207875058461,0.5233744269921929,0.7329963162845446,0.8786458360702831,0.2798482208640163,0.5580379981117073,0.7410966594279564,0.4941510404347062,0.19692147929001114,0.3327006008426173,0.9600244861616086,0.5049157824441641,0.7133146033309274,0.8652013194196173,0.26805424073522116,0.0002997589411689477
8.0,0.5369602059716564,0.7523653959837534,0.48132586213897155,0.23532888671613517,0.32509794841831413,0.9266182160867836,0.524792823849036,0.7343888763354125,0.8794875028683233,0.2784419902441225,0.5645216537530339,0.7431592747568966,0.5004056584240548,0.21183979865309574,0.33970611833207254,0.9496347312255897,0.5068281314293038,0.7155170087758943,0.8662097715299466,0.2666364695418003,0.0002990365231128357
9.0,0.5416740430628231,0.7544884271912039,0.4827105269498453,0.2382652631305377,0.3264913012671618,0.9255821163759808,0.5268676507424359,0.7356369254376054,0.8802139988193893,0.2772336688581639,0.564876470190391,0.7442450406686554,0.5024154329922099,0.21652608609880217,0.3419617715185994,0.9465520381525427,0.5062126046395543,0.7156131321375812,0.8676600538290825,0.26713494322693504,0.00029783519026483984
10.0,0.5456155411399237,0.7563883160737761,0.48419659648639973,0.24139456070760293,0.3279862963729385,0.9245171144754428,0.5283105706693572,0.7371849442362903,0.8809488150978032,0.2760443606108458,0.5703803400091809,0.74634395484598,0.5123602886392276,0.2375920998230932,0.3541593435191999,0.9259985024992075,0.5091047373639939,0.717707609597496,0.8681288660141521,0.26580262961798284,0.00029615900755504485
11.0,0.5496369585833589,0.7580003074375783,0.4853234024618304,0.24371042471777893,0.3291444067678104,0.9235458257355608,0.5296352543655444,0.738203527468466,0.8814979567027681,0.2751610318558742,0.5677431868696754,0.7446012302897549,0.5001175369576113,0.2113373365246018,0.33929798714749804,0.9507527976957375,0.5087016937948154,0.7167935944740872,0.8669602083010112,0.2681027317596718,0.0002940136466551575
